English Word,Telugu Translation
The,ది
Lion,సింహం
King,రాజు
is,ఉంది
American,అమెరికన్
musical,సంగీత
drama,డ్రామా
film,చిత్రం
that,ఆ
photorealistic,ఫోటోరియలిస్టిక్
animated,యానిమేటెడ్
remake,రీమేక్
of,యొక్క
the,ది
traditionally,సాంప్రదాయకంగా
It,అది
directed,దర్శకత్వం వహించారు
by,ద్వారా
Jon,జోన్
Favreau,FAVREAUE
written,వ్రాయబడింది
Jeff,జెఫ్
Nathanson,నాథన్సన్
and,మరియు
produced,ఉత్పత్తి
Walt,వాల్ట్
Disney,డిస్నీ
Pictures,చిత్రాలు
Fairview,ఫెయిర్‌వ్యూ
Entertainment,వినోదం
stars,నక్షత్రాలు
voices,స్వరాలు
Donald,డోనాల్డ్
Glover,గ్లోవర్
Seth,సేథ్
Rogen,రోజెన్
Chiwetel,చివెటెల్
Ejiofor,ఎజియోఫోర్
Alfre,ఆల్ఫ్రే
Woodard,వుడార్డ్
Billy,బిల్లీ
Eichner,ఐచ్నర్
John,జాన్
Kani,కని
The,ది
Lion,సింహం
King,రాజు
is,ఉంది
American,అమెరికన్
musical,సంగీత
drama,డ్రామా
film,చిత్రం
that,ఆ
photorealistic,ఫోటోరియలిస్టిక్
animated,యానిమేటెడ్
remake,రీమేక్
of,యొక్క
the,ది
traditionally,సాంప్రదాయకంగా
It,అది
directed,దర్శకత్వం వహించారు
by,ద్వారా
Jon,జోన్
Favreau,FAVREAUE
written,వ్రాయబడింది
Jeff,జెఫ్
Nathanson,నాథన్సన్
and,మరియు
produced,ఉత్పత్తి
Walt,వాల్ట్
Disney,డిస్నీ
Pictures,చిత్రాలు
Fairview,ఫెయిర్‌వ్యూ
Entertainment,వినోదం
stars,నక్షత్రాలు
voices,స్వరాలు
Donald,డోనాల్డ్
Glover,గ్లోవర్
Seth,సేథ్
Rogen,రోజెన్
Chiwetel,చివెటెల్
Ejiofor,ఎజియోఫోర్
Alfre,ఆల్ఫ్రే
Woodard,వుడార్డ్
Billy,బిల్లీ
Eichner,ఐచ్నర్
John,జాన్
Kani,కని
Oliver,ఆలివర్
Florence,ఫ్లోరెన్స్
Kasumba,కసుంబ
Eric,ఎరిక్
Andr,ఆండర్
Keegan,కీగన్
Michael,మైఖేల్
Key,కీ
JD,JD
McCrary,మెక్‌కారీ
Shahadi,షహాది
Wright,రైట్
Joseph,జోసెఫ్
with,తో
Beyonc,బియాన్క్
Knowles,నోలెస్
Carter,కార్టర్
James,జేమ్స్
Earl,ఎర్ల్
Jones,జోన్స్
reprising,రీప్రైజింగ్
his,తన
voice,వాయిస్
role,పాత్ర
plot,ప్లాట్
follows,క్రింది
Simba,సింబా
young,యంగ్
lion,సింహం
who,WHO
must,తప్పక
embrace,ఆలింగనం
as,as
rightful,సరైనది
king,రాజు
homeland,హోంల్యాండ్
following,క్రింది
murder,హత్య
father,తండ్రి
Mufasa,ముఫాసా
at,వద్ద
hands,చేతులు
uncle,అంకుల్
Scar,మచ్చ
Plans,ప్రణాళికలు
for,కోసం
were,ఉన్నారు
confirmed,ధ్రువీకరించారు
in,ఇన్
September,సెప్టెంబర్
box,బాక్స్
office,కార్యాలయం
successes,విజయాలు
remakes,రీమేక్‌లు
such,అలాంటిది
Jungle,అడవి
Book,పుస్తకం
was,ఉంది
inspired,ప్రేరణ
certain,ఖచ్చితంగా
roles,పాత్రలు
characters,అక్షరాలు
Broadway,బ్రాడ్‌వే
adaptation,అనుసరణ
developed,అభివృద్ధి చేయబడింది
upon,at
elements,అంశాలు
original,అసలైన
story,కథ
Much,చాలా
main,ప్రధాన
cast,తారాగణం
signed,సంతకం
early,ప్రారంభంలో
principal,ప్రిన్సిపాల్
photography,ఫోటోగ్రఫీ
began,ప్రారంభమైంది
mid,మధ్య
on,పై
blue,నీలం
screen,స్క్రీన్
stage,దశ
Los,లాస్
Angeles,ఏంజిల్స్
virtual,వర్చువల్
reality,వాస్తవికత
tools,సాధనాలు
utilized,ఉపయోగించబడింది
cinematography,సినిమాటోగ్రఫీ
used,ఉపయోగించబడిన
to,to
greater,ఎక్కువ
degree,డిగ్రీ
during,సమయంలో
filming,చిత్రీకరణ
